"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Angela Patton","Activist","A father-daughter dance ... in prison","At Camp Diva, Angela Patton works to help young girls and their fathers stay connected and become part of each others' lives. But what about girls whose fathers can't be there — because they're in jail? Patton tells the story of a very special father-daughter dance.","Angela Patton is the creator of Camp Diva, which helps support ""at-promise"" girls ages 11-17.","https://ted.com/talks/angela_patton_a_father_daughter_dance_in_prison","https://twitter.com/TheCampDivaLady","https://ted.com/speakers/angela_patton","Jan 2013","Inspiring, Beautiful"
"Andy Puddicombe","Mindfulness expert","All it takes is 10 mindful minutes","When is the last time you did absolutely nothing for 10 whole minutes? Not texting, talking or even thinking? Mindfulness expert Andy Puddicombe describes the transformative power of doing just that: Refreshing your mind for 10 minutes a day, simply by being mindful and experiencing the present moment. (No need for incense or sitting in uncomfortable positions.)","Mindfulness expert Andy Puddicombe wants to make meditation accessible to everybody: for a happier, healthier you.","https://ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes","not available","https://ted.com/speakers/andy_puddicombe","Jan 2013","Inspiring, Informative"
"Boghuma Kabisen Titanji","Clinical researcher","Ethical riddles in HIV research","A woman in sub-Saharan Africa is part of a cutting-edge HIV clinical trial — but she can't afford a bus ticket to her health clinic, let alone the life-saving antiretrovirals she'll need. Boghuma Kabisen Titanji asks an important question: How can researchers looking for a cure make sure they're not taking advantage of the people most affected by the pandemic?","Boghuma Kabisen Titanji set out to research HIV drug resistant viruses. In the process, Titanji met a woman who changed the way she thinks about research subjects.","https://ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research","not available","https://ted.com/speakers/boghuma_kabisen_titanji","Jan 2013","Informative, Persuasive"
"Jarrett J. Krosoczka","Author/illustrator","How a boy became an artist","This talk paints the funny and touching story of a little boy who pursued a simple passion: to draw and write stories. With the help of a supporting cast of family and teachers, Jarrett J. Krosoczka tells how he grew up to create beloved children's books.","Jarrett J. Krosoczka is the author/illustrator of countless children's books and graphic novels, including Good Night, Monkey Boy, Baghead and the Lunch Lady series.","https://ted.com/talks/jarrett_j_krosoczka_how_a_boy_became_an_artist","https://twitter.com/StudioJJK","https://ted.com/speakers/jarrett_j_krosoczka","Jan 2013","Inspiring, Beautiful"
"Sue Austin","Performance artist","Deep sea diving ... in a wheelchair","When Sue Austin got a power wheelchair, she felt a tremendous sense of freedom — yet others looked at her as though she had lost something. In her art, she conveys the spirit of wonder she feels wheeling through the world. Includes thrilling footage of an underwater wheelchair that lets her explore ocean beds, drifting through schools of fish, floating free in 360 degrees.","In repurposing her wheelchair to create fantastical art, Sue Austin reshapes how we think about disability.","https://ted.com/talks/sue_austin_deep_sea_diving_in_a_wheelchair","https://twitter.com/","https://ted.com/speakers/sue_austin","Jan 2013","Inspiring, Beautiful"
"Jonathan Haidt","Social psychologist","How common threats can make common (political) ground","If an asteroid were headed for Earth, we'd all band together and figure out how to stop it, just like in the movies, right? And yet, when faced with major, data-supported, end-of-the-world problems in real life, too often we retreat into partisan shouting and stalemate. Jonathan Haidt shows us a few of the very real asteroids headed our way — some pet causes of the left wing, some of the right — and suggests how both wings could work together productively to benefit humanity as a whole.","Jonathan Haidt studies how — and why — we evolved to be moral and political creatures.","https://ted.com/talks/jonathan_haidt_how_common_threats_can_make_common_political_ground","not available","https://ted.com/speakers/jonathan_haidt","Jan 2013","Persuasive, Informative"
"Don Levy","Film executive","A cinematic journey through visual effects","It's been 110 years since Georges Méliès sent a spaceship slamming into the eye of the man on the moon. So how far have visual effects come since then? Working closely with the Academy of Motion Picture Arts and Sciences, Don Levy takes us on a visual journey through special effects, from the fakery of early technology to the seamless marvels of modern filmmaking.","Don Levy has served on the frontlines of the digital transformation of entertainment. For 17 years, he led the communications efforts for top visual effects and digital animation studio, Sony Pictures Imageworks. He is fascinated by the magic of movies. ","https://ted.com/talks/don_levy_a_cinematic_journey_through_visual_effects","not available","https://ted.com/speakers/don_levy","Jan 2013","Fascinating, Informative"
"Hadyn Parry","Biotechnology entrepreneur","Re-engineering mosquitos to fight disease","In a single year, there are 200-300 million cases of malaria and 50-100 million cases of dengue fever worldwide. So: Why haven't we found a way to effectively kill mosquitos yet? Hadyn Parry presents a fascinating solution: genetically engineering male mosquitos to make them sterile, and releasing the insects into the wild, to cut down on disease-carrying species.","Biotech entrepreneur Hadyn Parry leads a science start-up that develops GM insects to fight dengue fever.","https://ted.com/talks/hadyn_parry_re_engineering_mosquitos_to_fight_disease","not available","https://ted.com/speakers/hadyn_parry","Jan 2013","Ingenious, Informative"
"Karen Thompson Walker","Novelist","What fear can teach us","Imagine you're a shipwrecked sailor adrift in the enormous Pacific. You can choose one of three directions and save yourself and your shipmates — but each choice comes with a fearful consequence too. How do you choose? In telling the story of the whaleship Essex, novelist Karen Thompson Walker shows how fear propels imagination, as it forces us to imagine the possible futures and how to cope with them.","Fiction writer Karen Thompson Walker explores the connection between fear and the imagination.","https://ted.com/talks/karen_thompson_walker_what_fear_can_teach_us","https://twitter.com/#!/kthompsonwalker","https://ted.com/speakers/karen_t_walker","Jan 2013","Inspiring, Fascinating"
"Ronny Edry","Graphic Designer","Israel and Iran: A love story?","When war between Israel and Iran seemed imminent, Israeli graphic designer Ronny Edry shared a poster on Facebook of himself and his daughter with a bold message: ""Iranians ... we [heart] you."" Other Israelis quickly created their own posters with the same message — and Iranians responded in kind. The simple act of communication inspired surprising Facebook communities like ""Israel loves Iran,"" ""Iran loves Israel"" and even ""Palestine loves Israel.""","Ronny Edry of Israel created The Peace Factory, an online movement for peace in the Middle East, when he posted a Facebook image that declared ""Iranians, we will never bomb your country.""","https://ted.com/talks/israel_and_iran_a_love_story","not available","https://ted.com/speakers/ronny_edry","Dec 2012","Inspiring, Beautiful"
